seed,scope,admissible_share,eps,min_samples,scope_size,scope_share_of_pool,clusters,noise_share_within_scope,core_border_share_within_scope,unknown_rate_coherent,unknown_rate_noise,background_rate_coherent,background_rate_noise,unknown_objects_scope,unknown_objects_kept,unknown_classes_kept,head_objects_kept,medium_objects_kept,tail_objects_kept,tail_classes_kept,tail_retained_vs_scope,tail_retained_vs_pool,known_share_coherent,known_retained_vs_scope,c1_objects_not_preferentially_deleted,c2_background_concentrated_in_noise,c3_tail_retained,c4_gate_does_something,accepted
0,admissible_sensitivity,0.5,0.45,5,40000,0.5,1,0.0016,0.9984,0.056966145833333336,0.03125,0.7535556891025641,0.640625,953,952,51,466,200,286,21,0.9965156794425087,0.807909604519774,0.18947816506410256,0.9972324723247232,True,False,True,False,False
1,full_pool,1.0,0.15,5,80000,1.0,52,0.672825,0.327175,0.008405287690074119,0.04715193400958644,0.9898372430656377,0.7286627280496414,1268,206,43,98,47,61,18,0.17231638418079095,0.17231638418079095,0.0017574692442882249,0.0037975728556096755,False,False,False,True,False
1,admissible,0.3,0.15,5,24000,0.3,6,0.744125,0.255875,0.02035499104380394,0.10302928495436475,0.9767138902458883,0.5398958508315135,772,117,39,50,28,39,15,0.156,0.11016949152542373,0.0029311187103077674,0.0028146989835809225,False,False,False,True,False
1,full_pool,1.0,0.15,20,80000,1.0,7,0.6900125,0.3099875,0.0073390056050647206,0.04666582127135378,0.9925803459816928,0.7339359794206627,1268,168,43,71,44,53,18,0.1497175141242938,0.1497175141242938,8.064841324246945e-05,0.0001651118632873772,False,False,False,True,False
1,admissible,0.3,0.15,20,24000,0.3,2,0.7497083333333333,0.2502916666666667,0.016480772432162477,0.10370699716556439,0.9831862826702181,0.5409881620630245,772,91,39,28,28,35,15,0.14,0.09887005649717515,0.000332944897619444,0.0003127443315089914,False,False,False,True,False
1,full_pool,1.0,0.25,5,80000,1.0,132,0.4346625,0.5653375,0.013376965087226656,0.06191585425473787,0.8888716916885931,0.7168780375578754,1268,559,49,289,102,168,19,0.4745762711864407,0.4745762711864407,0.09775134322418025,0.3649797737967473,False,False,False,True,False
1,admissible,0.3,0.25,5,24000,0.3,40,0.60475,0.39525,0.03795066413662239,0.11058288548987184,0.8074003795066413,0.549882871710073,772,344,40,168,55,121,15,0.484,0.3418079096045198,0.15464895635673626,0.22939796716184518,False,False,False,True,False
1,full_pool,1.0,0.25,20,80000,1.0,23,0.5654375,0.4345625,0.012598878182079679,0.05128771968608378,0.9471594994966201,0.7118602851774068,1268,419,44,211,76,132,18,0.3728813559322034,0.3728813559322034,0.04024162232130016,0.11549574836952035,False,False,False,True,False
1,admissible,0.3,0.25,20,24000,0.3,8,0.6831666666666667,0.31683333333333336,0.041425565491846394,0.10063430104903635,0.9082062072593372,0.5326909002195658,772,304,40,150,50,104,15,0.416,0.2937853107344633,0.05036822724881641,0.059890539483971855,False,False,False,True,False
1,full_pool,1.0,0.35,5,80000,1.0,65,0.105525,0.894475,0.028131026579837334,0.08824923004027482,0.8357835601889376,0.6304193319118693,1268,1146,57,588,238,320,23,0.903954802259887,0.903954802259887,0.13608541323122503,0.8039296623462395,False,False,True,True,False
